Date;BoutID;Complete;View;Dyad;Initiator;Partner;StartTime;EndTime;Duration;ID1;Behavior;ID2;Condition
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:30;00:02:34;00:00:04;Debbie;Self scratch;;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:33;00:02:34;00:00:01;Violet;Self scratch;;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:34;00:02:36;00:00:02;Violet;Torso;;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:36;00:02:36;00:00:00;Debbie;Head touch;Violet;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:36;00:02:37;00:00:01;Violet;Raise;;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:02:36;00:02:37;00:00:01;Debbie;Raise;;PH
21/03/2019;4;Yes;Side;Debbie-Violet;Debbie;Violet;00:05:05;00:05:15;00:00:10;Debbie;Groom other;Violet;MC
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:00:22;00:00:31;00:00:09;Nikkie;Groom other;Doug;PH
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:00:22;00:00:31;00:00:09;Doug;Groom other;Nikkie;PH
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:00:31;00:00:32;00:00:01;Nikkie;Raise;;PH
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:00:31;00:00:31;00:00:01;Nikkie;Elbow touch;Doug;PH
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:00:31;00:00:32;00:00:01;Doug;Raise;;PH
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:04:14;00:04:24;00:00:10;Doug;Groom other;Nikkie;MC
21/03/2019;5;Yes;Side;Doug-Nikkie;Nikkie;Doug;00:04:14;00:04:24;00:00:10;Nikkie;Groom hand/arm;Doug;MC
22/03/2019;8;Yes;Side;Little Judy-Long John;Long John;Little Judy;00:00:30;00:00:37;00:00:07;Little Judy;Groom face;Long John;PH
22/03/2019;8;Yes;Side;Little Judy-Long John;Long John;Little Judy;00:00:36;00:00:36;00:00:00;Long John;Head move;;PH
22/03/2019;8;Yes;Side;Little Judy-Long John;Long John;Little Judy;00:00:37;00:00:40;00:00:02;Long John;Raise;;PH
22/03/2019;8;Yes;Side;Little Judy-Long John;Long John;Little Judy;00:00:38;00:00:40;00:00:02;Little Judy;Raise;;PH
22/03/2019;8;Yes;Side;Little Judy-Long John;Long John;Little Judy;00:05:11;00:05:21;00:00:10;Long John;Groom other;Little Judy;MC
24/03/2019;3;Yes;Side;Debbie-Little Jenkins;Debbie;Little Jenkins;00:02:02;00:02:04;00:00:02;Little Jenkins;Torso;;PH
24/03/2019;3;Yes;Side;Debbie-Little Jenkins;Debbie;Little Jenkins;00:02:08;00:02:09;00:00:01;Little Jenkins;Nosewipe;;PH
