Dyad;Sex;Kin;Kin2;FirstGHC
Charity-Moyo;FM;No;No;22/05/2019
Claire-Nina;FF;No;No;31/05/2019
Claire-Tess;FF;No;No;06/04/2019
Coco-Noel;FF;No;No;31/05/2019
Daisey-Debbie;FF;No;No;01/04/2019
Daisey-Diana;FF;Yes;Yes;31/05/2010
Daisey-Diz;FF;Yes;No;07/06/2019
Daisey-Moyo;FM;No;No;02/04/2019
Daisey-Nikkie;FF;No;No;22/04/2019
Daisey-Tilly;FF;No;No;23/03/2019
David-Diana;FM;Yes;Yes;01/06/2007
David-Dolly;FM;No;No;02/04/2019
David-Doug;MM;No;No;20/07/2017
David-Nikkie;FM;No;No;09/04/2019
David-Pan;MM;No;No;09/04/2019
David-Tess;MF;No;No;12/06/2007
Debbie-Dolly;FF;No;No;02/04/2019
Debbie-Little Jenkins;FF;No;No;24/03/2019
Debbie-Maggie;FF;No;No;14/06/2010
Debbie-Nikkie;FF;No;No;19/07/2017
Debbie-Nina;FF;No;No;27/03/2019
Debbie-Noel;FF;No;No;06/04/2019
Debbie-Tess;FF;No;No;08/04/2019
Debbie-Tilly;FF;No;No;20/04/2019
Debbie-Violet;FF;No;No;23/03/2019
Diana-Diz;FF;Yes;Yes;25/03/2019
Diana-Doug;FM;No;No;24/03/2019
Diana-Vis;FM;No;No;27/03/2019
Dolly-Doug;FM;Yes;No;01/06/2010
Dolly-Little Jane;FF;No;No;30/04/2019
Dolly-Moyo;FM;No;No;25/03/2019
Dolly-Nikkie;FF;No;No;03/06/2007
Dolly-Nina;FF;No;No;24/07/2017
Dolly-Tess;FF;No;No;03/06/2007
Dolly-Tilly;FF;No;No;03/06/2010
Dolly-Vis;FM;No;No;01/04/2019
Dora-Doug;FM;Yes;Yes;01/06/2007
Dora-Nikkie;FM;No;No;31/05/2007
Doug-Misha;FM;No;No;28/05/2019
Doug-Nikkie;FM;No;No;29/05/2011
Doug-Tess;FM;No;No;23/04/2019
Doug-Vis;MM;No;No;21/03/2019
Little Jane-Little Jenkins;FF;Yes;Yes;12/07/2017
Little Jane-Little Jones;FM;Yes;Yes;11/07/2017
Little Jane-Little Judy;FF;Yes;Yes;02/06/2007
Little Jane-Noel;FF;No;No;28/06/2007
Little Jenkins-Little Jones;FM;Yes;No;23/03/2019
Little Judy-Long John;FM;Yes;Yes;22/03/2019
Maggie-May;FF;Yes;Yes;24/05/2019
Maggie-Moyo;FM;Yes;Yes;12/07/2017
Maggie-Noel;FF;No;No;31/05/2010
Martin-Misha;FM;Yes;Yes;19/04/2019
Mary-Masya;FF;Yes;Yes;06/04/2019
Mary-Nikkie;FF;No;No;30/05/2011
Max-Maxine;FM;Yes;No;27/03/2019
Max-Misha;FM;Yes;Yes;09/04/2019
Max-Noel;FM;No;No;28/03/2019
Maxine-Misha;FF;Yes;Yes;24/06/2007
Maxine-Moyo;FF;No;No;25/03/2019
Maxine-Noel;FF;No;No;25/05/2011
Misha-Moyo;FM;No;No;06/04/2019
Misha-Nikkie;FF;No;No;08/04/2019
Misha-Noel;FF;No;No;03/06/2010
Misha-Tess;FF;No;No;04/06/2007
Moyo-Nikkie;FM;No;No;25/03/2019
Nikkie-Nina;FF;Yes;No;31/05/2010
Nikkie-Noel;FF;Yes;Yes;03/06/2007
Nikkie-Tess;FF;No;No;31/05/2010
Nina-Noel;FF;Yes;Yes;01/06/2007
Nina-Pippa;FF;No;No;12/04/2019
Nina-Tess;FF;No;No;24/05/2019
Nina-Violet;FF;No;No;07/06/2019
Tilly-Trixie;FF;Yes;Yes;09/06/2007
Violet-Vis;FM;Yes;Yes;25/03/2019
