BoutID,Dyad,Initiator,ID1,Behavior,ID2,Order
1,Violet-Vis,Violet,Violet,headtouch,Vis,a
3,Debbie-Little Jenkins,Debbie,Little Jenkins,torso,,a
3,Debbie-Little Jenkins,Debbie,Little Jenkins,nosewipe,,a
4,Debbie-Violet,Debbie,Debbie,scratch,,a
4,Debbie-Violet,Debbie,Violet,scratch,,a
4,Debbie-Violet,Debbie,Violet,torso,,a
4,Debbie-Violet,Debbie,Debbie,headtouch,Violet,a
5,Doug-Nikkie,Nikkie,Nikkie,elbowtouch,Doug,a
6,Little Jane-Little Jenkins,Little Jane,Little Jane,scratch,,a
6,Little Jane-Little Jenkins,Little Jane,Little Jenkins,scratch,,a
6,Little Jane-Little Jenkins,Little Jane,Little Jane,headtouch,Little Jenkins,a
6,Little Jane-Little Jenkins,Little Jane,Little Jenkins,headmove,Little Jane,a
6,Little Jane-Little Jenkins,Little Jane,Little Jane,handtouch,Little Jenkins,a
6,Little Jane-Little Jenkins,Little Jane,Little Jenkins,handgrab,Little Jane,a
7,Little Jenkins-Little Jones,Little Jenkins,Little Jones,nosewipe,,a
7,Little Jenkins-Little Jones,Little Jenkins,Little Jenkins,elbowtouch,Little Jones,a
7,Little Jenkins-Little Jones,Little Jenkins,Little Jenkins,handtouch,Little Jones,a
7,Little Jenkins-Little Jones,Little Jenkins,Little Jenkins,elbowhold,Little Jones,a
8,Little Judy-Long John,Long John,Long John,headmove,,a
9,Maxine-Noel,Maxine,Maxine,headmove,,a
10,Dolly-Moyo,Dolly,Dolly,handgrab,Moyo,a
11,Moyo-Nikkie,Nikkie,Moyo,torso,,a
11,Moyo-Nikkie,Nikkie,Nikkie,torso,,a
12,Diana-Diz,Diana,Diz,nosewipe,,a
12,Diana-Diz,Diana,Diana,torso,,a
12,Diana-Diz,Diana,Diz,scratch,,a
12,Diana-Diz,Diana,Diz,nosewipe,,a
13,Nina-Noel,Nina,Noel,torso,,a
13,Nina-Noel,Nina,Nina,nosewipe,,a
13,Nina-Noel,Nina,Noel,nosewipe,,a
13,Nina-Noel,Nina,Nina,elbowhold,Noel,a
14,Diana-Vis,Vis,Vis,nosewipe,,a
14,Diana-Vis,Vis,Vis,elbowtouch,Diana,a
14,Diana-Vis,Vis,Vis,handgrab,Diana,a
15,Debbie-Nina,Nina,Nina,nosewipe,,a
17,Daisey-Tilly,Daisey,Daisey,handtouch,Tilly,a
17,Daisey-Tilly,Daisey,Tilly,scratch,,a
17,Daisey-Tilly,Daisey,Tilly,torso,,a
18,Debbie-Violet,Debbie,Violet,nosewipe,,a
18,Debbie-Violet,Debbie,Debbie,elbowtouch,Violet,a
18,Debbie-Violet,Debbie,Violet,nosewipe,,a
18,Debbie-Violet,Debbie,Violet,torso,,a
18,Debbie-Violet,Debbie,Debbie,handtouch,Violet,a
20,Dora-Nina,Nina,Dora,nosewipe,,a
21,Doug-Vis,Doug,Doug,scratch,,a
21,Doug-Vis,Doug,Doug,elbowtouch,Vis,a
26,Max-Noel,Noel,Noel,elbowhold,Max,a
27,Nina-Tilly,Nina,Nina,scratch,,a
30,Doug-Vis,Vis,Vis,headmove,,a
30,Doug-Vis,Vis,Vis,elbowtouch,Doug,a
31,Daisey-Diana,Daisey,Daisey,elbowtouch,Diana,a
31,Daisey-Diana,Daisey,Diana,scratch,,a
31,Daisey-Diana,Daisey,Daisey,headmove,,a
31,Daisey-Diana,Daisey,Daisey,elbowhold,Diana,a
33,Daisey-Debbie,Daisey,Daisey,torso,,a
34,Daisey-Diana,Daisey,Daisey,elbowtouch,,a
34,Daisey-Diana,Daisey,Diana,headmove,,a
35,Dolly-Vis,Dolly,Dolly,elbowhold,Vis,a
35,Dolly-Vis,Dolly,Dolly,handgrab,Vis,a
43,Debbie-Tess,Debbie,Debbie,handgrab,Tess,a
44,Debbie-Dolly,Debbie,Dolly,headmove,,a
66,Maxine-Misha,Maxine,Maxine,torso,,a
66,Maxine-Misha,Maxine,Maxine,handgrab,Misha,a
71,Daisey-Diana,Daisey,Daisey,elbowtouch,Diana,a
71,Daisey-Diana,Daisey,Diana,torso,,a
71,Daisey-Diana,Daisey,Daisey,elbowhold,Diana,a
71,Daisey-Diana,Daisey,Daisey,hold,,a
83,Little Jane-Little Judy,Little Jane,Little Jane,hold,,a
84,Nikkie-Noel,Nikkie,Nikkie,torso,,a
85,Daisey-Diana,Diana,Diana,nosewipe,,a
85,Daisey-Diana,Diana,Daisey,headmove,,a
92,Debbie-Maggie,Debbie,Debbie,headtouch,,a
97,Little Jane-Little Jenkins,Little Jane,Little Jane,headtouch,,a
97,Little Jane-Little Jenkins,Little Jane,Little Jane,hold,,a
98,Maxine-Misha,Maxine,Maxine,headtouch,Misha,a
99,Doug-Nikkie,Nikkie,Nikkie,torso,,a
101,Mary-Masya,Mary,Masya,scratch,,a
103,Doug-Vis,Doug,Doug,hold,,a
108,Daisey-Debbie,Debbie,Debbie,torso,,a
108,Daisey-Debbie,Debbie,Daisey,torso,,a
110,Daisey-Diana,Daisey,Daisey,torso,,a
110,Daisey-Diana,Daisey,Daisey,hold,Diana,a
115,Dolly-Doug,Doug,Doug,torso,,a
119,Maxine-Misha,Misha,Misha,scratch,,a
119,Maxine-Misha,Misha,Misha,torso,,a
122,Misha-Noel,Misha,Misha,torso,,a
122,Misha-Noel,Misha,Misha,headmove,,a
126,Nikkie-Nina,Nina,Nina,scratch,,a
126,Nikkie-Nina,Nina,Nina,hold,,a
127,Mary-Masya,Masya,Masya,torso,,a
130,Mary-Masya,Masya,Mary,scratch,,a
130,Mary-Masya,Masya,Masya,handgrab,Mary,a
132,Little Jane-Noel,Little Jane,Noel,scratch,,a
132,Little Jane-Noel,Little Jane,Little Jane,nosewipe,,a
132,Little Jane-Noel,Little Jane,Little Jane,hold,,a
